"";"id";"edges";"delay";"X";"accession"
"1";"YAL012W";"GlySerThrMetabo";0;4579;"P31373"
"2";"YBR263W";"GlySerThrMetabo";0;504;"P37292"
"3";"YCR053W";"GlySerThrMetabo";0;3001;"P16120"
"4";"YDL021W";"GlySerThrMetabo";0;2102;"Q12008"
"5";"YDR158W";"GlySerThrMetabo";0;5657;"P13663"
"6";"YEL046C";"GlySerThrMetabo";0;1958;"P37303"
"7";"YER026C";"GlySerThrMetabo";0;2461;"P08456"
"8";"YER052C";"GlySerThrMetabo";0;73;"P10869"
"9";"YER086W";"GlySerThrMetabo";0;6047;"P00927"
"10";"YFL018C";"GlySerThrMetabo";0;1896;"P09624"
"11";"YGR155W";"GlySerThrMetabo";0;2116;"P32582"
"12";"YGR208W";"GlySerThrMetabo";0;1916;"P42941"
"13";"YHR025W";"GlySerThrMetabo";0;6602;"P17423"
"14";"YJR139C";"GlySerThrMetabo";0;4502;"P31116"
"15";"YKR043C";"GlySerThrMetabo";0;1605;"P36136"
"16";"YLR058C";"GlySerThrMetabo";0;1174;"P37291"
"17";"YMR189W";"GlySerThrMetabo";0;3999;"P49095"
"18";"YOR283W";"GlySerThrMetabo";0;763;"Q12040"
"19";"YDR019C";"GlySerThrMetabo";1;5407;"P48015"
"20";"YGR205W";"GlySerThrMetabo";1;3398;"P42938"
"21";"YIL074C";"GlySerThrMetabo";1;3617;"P40510"
